movie,production_budget,domestic_gross_x,foreign_gross_x,year_x,title,domestic_gross_y,foreign_gross_y,year_y
Destroyer,9000000,1533324,3681096,2018,Destroyer,1500000.0,4000000,2018
Vice,60000000,47836282,70883171,2018,Vice,47800000.0,28200000,2018
On the Basis of Sex,20000000,24622687,38073377,2018,On the Basis of Sex,24600000.0,13600000,2018
Aquaman,160000000,335061807,1146894640,2018,Aquaman,335100000.0,812700000,2018
Second Act,15700000,39282227,63288854,2018,Second Act,39300000.0,33000000,2018
Bumblebee,102000000,127195589,465195589,2018,Bumblebee,127200000.0,340800000,2018
Welcome to Marwen,45000000,10763520,12874922,2018,Welcome to Marwen,10800000.0,2100000,2018
Mary Poppins Returns,130000000,171958438,341528518,2018,Mary Poppins Returns,172000000.0,177600000,2018
Mortal Engines,100000000,15951040,85287417,2018,Mortal Engines,16000000.0,67700000,2018
The Mule,50000000,103804407,170857676,2018,The Mule,103800000.0,68700000,2018
If Beale Street Could Talk,12000000,14915773,19859167,2018,If Beale Street Could Talk,14900000.0,5700000,2018
Mary Queen of Scots,25000000,16468499,46734733,2018,Mary Queen of Scots,16500000.0,29900000,2018
The Possession of Hannah Grace,6000000,14836174,42785387,2018,The Possession of Hannah Grace,14800000.0,28200000,2018
The Favourite,15000000,34366783,94113929,2018,The Favourite,34400000.0,61600000,2018
Creed II,50000000,115715889,213591522,2018,Creed II,115700000.0,98300000,2018
Robin Hood,99000000,30824628,84747441,2018,Robin Hood,105300000.0,216400000,2010
Robin Hood,210000000,105487148,322459006,2010,Robin Hood,105300000.0,216400000,2010
Instant Family,48000000,67363237,119736188,2018,Instant Family,67400000.0,53200000,2018
Green Book,23000000,85080171,322034439,2018,Green Book,85100000.0,234700000,2018
Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,2018,Fantastic Beasts: The Crimes of Grindelwald,159600000.0,494100000,2018
Widows,40000000,42402632,73866088,2018,Widows,42400000.0,33600000,2018
Bohemian Rhapsody,55000000,216303339,894985342,2018,Bohemian Rhapsody,216400000.0,687200000,2018
The Nutcracker and the Four Realms,132900000,54858851,170293899,2018,The Nutcracker and the Four Realms,54900000.0,119100000,2018
Suspiria,20000000,2483472,7034615,2018,Suspiria,2500000.0,5400000,2018
Goosebumps 2: Haunted Halloween,35000000,46697321,93291478,2018,Goosebumps 2: Haunted Halloween,46700000.0,46600000,2018
First Man,60000000,44936545,105203825,2018,First Man,44900000.0,60800000,2018
The Hate U Give,23000000,29719483,35067665,2018,The Hate U Give,29700000.0,5200000,2018
Hell Fest,5500000,11107431,18119231,2018,Hell Fest,11100000.0,7100000,2018
Smallfoot,80000000,83240103,213691277,2018,Smallfoot,83200000.0,130900000,2018
The Sisters Brothers,38000000,3143056,13143056,2018,The Sisters Brothers,3100000.0,10000000,2018
White Boy Rick,30000000,24004833,25947983,2018,White Boy Rick,24000000.0,1900000,2018
A Simple Favor,20000000,53548586,97628717,2018,A Simple Favor,53500000.0,44100000,2018
Peppermint,25000000,35418723,51800758,2018,Peppermint,35400000.0,18400000,2018
Kin,30000000,5718096,10096821,2018,Kin,5700000.0,4300000,2018
Alpha,51000000,35851379,99624873,2018,Alpha,35900000.0,62300000,2018
Mile 22,35000000,36108758,66295121,2018,Mile 22,36100000.0,30200000,2018
Crazy Rich Asians,30000000,174532921,238099711,2018,Crazy Rich Asians,174500000.0,64000000,2018
BlacKkKlansman,15000000,49275340,93017335,2018,BlacKkKlansman,49300000.0,44000000,2018
Slender Man,10000000,30564825,51723644,2018,Slender Man,30600000.0,21200000,2018
The Meg,178000000,145443742,529530715,2018,The Meg,145400000.0,384800000,2018
The Darkest Minds,34000000,12695691,38361428,2018,The Darkest Minds,12700000.0,28400000,2018
Teen Titans Go! To The Movies,10000000,29790236,51620593,2018,Teen Titans Go! To The Movies,29800000.0,22300000,2018
The Equalizer 2,77000000,102084362,190453132,2018,The Equalizer 2,102100000.0,88300000,2018
Unfriended: Dark Web,1000000,8866745,16434588,2018,Unfriended: Dark Web,8900000.0,6300000,2018
Skyscraper,125000000,68420120,304115534,2018,Skyscraper,68400000.0,236400000,2018
Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,2018,Hotel Transylvania 3: Summer Vacation,167500000.0,361100000,2018
Ant-Man and the Wasp,130000000,216648740,623144660,2018,Ant-Man and the Wasp,216600000.0,406000000,2018
The First Purge,13000000,69488745,136617305,2018,The First Purge,69500000.0,67500000,2018
Sicario: Day of the Soldado,35000000,50065850,75885196,2018,Sicario: Day of the Soldado,50100000.0,25800000,2018
Uncle Drew,18000000,42469946,46527161,2018,Uncle Drew,42500000.0,4200000,2018
Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,2018,Jurassic World: Fallen Kingdom,417700000.0,891800000,2018
Incredibles 2,200000000,608581744,1242520711,2018,Incredibles 2,608600000.0,634200000,2018
Tag,28000000,54730625,77026186,2018,Tag,54700000.0,23400000,2018
Superfly,16000000,20537137,20723581,2018,Superfly,20500000.0,236000,2018
Hereditary,10000000,44069456,70133905,2018,Hereditary,44100000.0,35300000,2018
Hotel Artemis,15000000,6708137,12758799,2018,Hotel Artemis,6700000.0,6000000,2018
Upgrade,3000000,11977130,16553285,2018,Upgrade,12000000.0,2400000,2018
Adrift,35000000,31445011,57897191,2018,Adrift,31400000.0,28500000,2018
Solo: A Star Wars Story,275000000,213767512,393151347,2018,Solo: A Star Wars Story,213800000.0,179200000,2018
Deadpool 2,110000000,324591735,786680557,2018,Deadpool 2,318500000.0,460500000,2018
Life of the Party,30000000,53059911,65759911,2018,Life of the Party,53100000.0,12800000,2018
Avengers: Infinity War,300000000,678815482,2048134200,2018,Avengers: Infinity War,678800000.0,"1,369.5",2018
I Feel Pretty,32000000,48795601,91553797,2018,I Feel Pretty,48800000.0,45700000,2018
Truth or Dare,3500000,41411015,95127344,2018,Truth or Dare,41400000.0,53900000,2018
Blockers,21000000,60311495,94045328,2018,Blockers,60300000.0,33700000,2018
A Quiet Place,17000000,188024361,334522294,2018,A Quiet Place,188000000.0,152900000,2018
Ready Player One,150000000,137690172,579290136,2018,Ready Player One,137700000.0,445200000,2018
Sherlock Gnomes,59000000,43242871,87527651,2018,Sherlock Gnomes,43200000.0,47100000,2018
"Paul, Apostle of Christ",5000000,17547999,25529498,2018,"Paul, Apostle of Christ",17600000.0,5500000,2018
